Symbol,Stock Name,Matched SECURITY
JSWENERGY,JSW ENERGY LIMITED,JSW ENERGY LIMITED
GLENMARK,GLENMARK PHARMACEUTICALS LIMITED,GLENMARK PHARMACEUTICALS
HUDCO,HOUSING AND URBAN DEVELOPMENT CORPORATION,HSG & URBAN DEV CORPN LTD
OBEROIRLTY,OBEROI REALTY LIMITED,OBEROI REALTY LIMITED
IREDA,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LTD,INDIAN RENEWABLE ENERGY
TATACHEM,TATA CHEMICALS LIMITED,TATA CHEMICALS LTD
POLICYBZR,PB FINTECH LTD,PB FINTECH LIMITED
NBCC,NBCC (INDIA) LIMITED,NBCC (INDIA) LIMITED
PFC,POWER FINANCE CORPORATION LIMITED,POWER FIN CORP LTD.
NMDC,NMDC LIMITED,NMDC LTD.
INOXWIND,INOX WIND LIMITED,INOX WIND LIMITED
BIOCON,BIOCON LIMITED,BIOCON LIMITED.
GRANULES,GRANULES INDIA LIMITED,GRANULES INDIA LIMITED
HINDCOPPER,HINDUSTAN COPPER LIMITED,HINDUSTAN COPPER LTD
ADANIENSOL,ADANI ENERGY SOLUTIONS LTD,ADANI ENERGY SOLUTION LTD
HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED,HFCL LIMITED
RBLBANK,RBL BANK LIMITED,RBL BANK LIMITED
TATAELXSI,TATA ELXSI LIMITED,TATA ELXSI LIMITED
BERGEPAINT,BERGER PAINTS (I) LIMITED,BERGER PAINTS (I) LTD
CYIENT,CYIENT LIMITED,CYIENT LIMITED
IDEA,IDEA CELLULAR LIMITED,VODAFONE IDEA LIMITED
ADANIGREEN,ADANI GREEN ENERGY LTD,ADANI GREEN ENERGY LTD
SHRIRAMFIN,SHRIRAM FINANCE LTD,SHRIRAM FINANCE LIMITED
ACC,ACC LIMITED,ACC LIMITED
SBICARD,SBI CARDS & PAYMENT SERVICES LTD,SBI CARDS & PAY SER LTD
ANGELONE,ANGEL ONE LTD,ANGEL ONE LIMITED
NIFTY,NIFTY,Nifty 50
BANKNIFTY,BANKNIFTY,Nifty Bank
NIFTYPSUBANK,Nifty PSU Bank,Nifty PSU Bank
NIFTYIT,NIFTY IT,Nifty IT
NIFTY_FINANCIAL_SERVICES,Nifty Financial Service,Nifty Fin Service
NIFTYPHARMA,Nifty Pharma,Nifty Pharma
NIFTYMETAL,Nifty Metal,Nifty Metal
NIFTYREALTY,Nifty Realty,Nifty Realty
NIFTYENERGY,Nifty Energy,Nifty Energy
NIFTYMEDIA,Nifty Media,Nifty Media
NIFTYAUTO,Nifty Auto,Nifty Auto
NIFTYFMCG,Nifty FMCG,Nifty FMCG
NIFTYINFRA,Nifty Infra,Nifty Infra
